id,customer_id,branch_id,product_code,type,currency,balance,lien_amount,status,last_trans_date,created_at
2000200951001,02009510,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,103.73,0,ACTIVE,,2014-01-08T00:00:00Z
2000200951101,02009511,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-08T00:00:00Z
2000200951201,02009512,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-08T00:00:00Z
2000200951401,02009514,BR001,PRD-SPECIAL-SAVINGS-PI-F06D7EFA,SAVINGS,GHS,13277.37,0,ACTIVE,,2014-01-10T00:00:00Z
2000200951501,02009515,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,629.66,0,ACTIVE,,2014-01-10T00:00:00Z
2000200951601,02009516,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-10T00:00:00Z
2000200951701,02009517,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-13T00:00:00Z
2000200951801,02009518,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-13T00:00:00Z
2000200951901,02009519,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-13T00:00:00Z
2000200952001,02009520,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,16.25,0,DORMANT,,2014-01-13T00:00:00Z
2000200952101,02009521,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-13T00:00:00Z
2000200952201,02009522,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-13T00:00:00Z
2000200952301,02009523,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,4629.79,0,ACTIVE,,2014-01-14T00:00:00Z
2000200952401,02009524,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-14T00:00:00Z
2000200952501,02009525,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,82.1,0,DORMANT,,2014-01-14T00:00:00Z
2000200952801,02009528,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200952901,02009529,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953001,02009530,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953101,02009531,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953201,02009532,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953301,02009533,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953401,02009534,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-15T00:00:00Z
2000200953501,02009535,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-16T00:00:00Z
2000200953601,02009536,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-16T00:00:00Z
2000200953701,02009537,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-16T00:00:00Z
2000200953801,02009538,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-16T00:00:00Z
2000200953901,02009539,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-16T00:00:00Z
2000200954001,02009540,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-17T00:00:00Z
2000200954101,02009541,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-17T00:00:00Z
2000200954301,02009543,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-17T00:00:00Z
2000200954401,02009544,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-18T00:00:00Z
2000200954501,02009545,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-20T00:00:00Z
2000200954701,02009547,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,320.61,0,ACTIVE,,2014-01-20T00:00:00Z
2000200954801,02009548,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-20T00:00:00Z
2000200954901,02009549,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-20T00:00:00Z
2000200955001,02009550,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-21T00:00:00Z
2000200955201,02009552,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-21T00:00:00Z
2000200955301,02009553,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,2808.81,0,ACTIVE,,2014-01-21T00:00:00Z
2000200955402,02009554,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-24T00:00:00Z
2000200955501,02009555,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-21T00:00:00Z
2000200955602,02009556,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-24T00:00:00Z
2000200955701,02009557,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-22T00:00:00Z
2000200955901,02009559,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-22T00:00:00Z
2000200956001,02009560,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-22T00:00:00Z
2000200956202,02009562,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200956302,02009563,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200956400,02009564,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,276.27,0,ACTIVE,,2018-01-12T00:00:00Z
2000200956402,02009564,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200956502,02009565,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200956601,02009566,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-23T00:00:00Z
2000200956801,02009568,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-23T00:00:00Z
2000200956902,02009569,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200957102,02009571,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200957401,02009574,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-24T00:00:00Z
2000200957501,02009575,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-24T00:00:00Z
2000200957601,02009576,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-24T00:00:00Z
2000200957701,02009577,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200957801,02009578,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200957901,02009579,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958001,02009580,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,209.37,0,ACTIVE,,2014-01-27T00:00:00Z
2000200958101,02009581,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958201,02009582,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958205,02009582,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2016-09-08T00:00:00Z
2000200958301,02009583,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,4727.32,0,ACTIVE,,2014-01-27T00:00:00Z
2000200958401,02009584,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958501,02009585,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958601,02009586,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-27T00:00:00Z
2000200958701,02009587,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-28T00:00:00Z
2000200958801,02009588,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-28T00:00:00Z
2000200958901,02009589,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-28T00:00:00Z
2000200959101,02009591,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-28T00:00:00Z
2000200959202,02009592,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-06T00:00:00Z
2000200959403,02009594,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200959502,02009595,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200959602,02009596,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200959702,02009597,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200959803,02009598,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200959902,02009599,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-31T00:00:00Z
2000200960101,02009601,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,355.78,0,ACTIVE,,2014-01-29T00:00:00Z
2000200960201,02009602,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-29T00:00:00Z
2000200960302,02009603,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200960402,02009604,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200960501,02009605,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200960604,02009606,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-11-18T00:00:00Z
2000200960605,02009606,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2015-07-27T00:00:00Z
2000200960701,02009607,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200960801,02009608,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200960901,02009609,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-01-30T00:00:00Z
2000200961001,02009610,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,631.32000000000005,0,ACTIVE,,2014-01-31T00:00:00Z
2000200961201,02009612,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200961301,02009613,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200961401,02009614,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200961601,02009616,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200961701,02009617,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200961901,02009619,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200962001,02009620,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200962101,02009621,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-03T00:00:00Z
2000200962201,02009622,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962301,02009623,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962401,02009624,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962501,02009625,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962601,02009626,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962700,02009627,BR001,PRD-COLLATERAL-SAVINGS-C15E48E0,SAVINGS,GHS,0,0,ACTIVE,,2018-05-29T00:00:00Z
2000200962701,02009627,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962801,02009628,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-04T00:00:00Z
2000200962901,02009629,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-05T00:00:00Z
2000200963101,02009631,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-02-07T00:00:00Z
2000200963202,02009632,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963204,02009632,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-06-11T00:00:00Z
2000200963302,02009633,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-11T00:00:00Z
2000200963402,02009634,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963502,02009635,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963602,02009636,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963702,02009637,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963704,02009637,BR001,PRD-SAVINGS-PI-7AB95790,SAVINGS,GHS,0,0,DORMANT,,2014-06-11T00:00:00Z
2000200963802,02009638,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-12T00:00:00Z
2000200963902,02009639,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-11T00:00:00Z
2000200964002,02009640,BR001,PRD-COLLATERAL-LEDGER-PI-768A436C,SAVINGS,GHS,0,0,DORMANT,,2014-02-11T00:00:00Z
